,,,,precision,precision,recall,recall,fpr,fpr,event_recall,event_recall,missed_events,missed_events,mean_detection_delay,mean_detection_delay,false_alarms_per_1000,false_alarms_per_1000,mae,mae,rmse,rmse,nrmse_mean,nrmse_mean,transmitted_values,transmitted_values,transmitted_payload_bytes,transmitted_payload_bytes,realized_bandwidth,realized_bandwidth,max_window_excess_values,max_window_excess_values,f1,f1,specificity,specificity,n_events,n_events
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,protocol,budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smd,PCA-Triage,fixed_full_data,0.5,0.32476196746730107,0.011438770603496629,0.5244988864142539,0.014557291426226845,0.11399650959860379,0.0038270425383758124,0.65,0.055901699437494734,2.8,0.447213595499958,27.606666666666666,18.406979352650147,6.0957196530777065,0.4276080179323962,0.15438637958775353,0.009776414546610313,9.024270428626467,2.229964907016769,0.01232072441336312,0.00011299430778421537,541101.0,0.0,2164404.0,0.0,0.5,0.0,0.0,0.0,0.4011096768307679,0.012392180655988074,0.8860034904013961,0.0038270425383758544,8.0,0.0
smd,PCA-Triage,fixed_full_data,0.7,0.3281957135143463,0.010042083082037983,0.531328878990349,0.011394545427426744,0.11370176459181691,0.004062649969112299,0.775,0.13693063937629152,1.8,1.0954451150103321,9.45,6.325543454913578,7.605604129358474,0.7309196017590072,0.038959297547393704,0.0015429069377629835,1.9019341392708398,0.4554564451700983,0.006286608174992441,0.00018914610215478055,757541.0,0.0,3030164.0,0.0,0.6999996303832371,0.0,0.0,0.0,0.40571539129166034,0.010068645444401891,0.8862982354081831,0.004062649969112312,8.0,0.0
smd,PCA-Triage,method_retrained,0.3,0.31829671019151873,0.009233753758452538,0.5260579064587974,0.05044528407203134,0.1175644754702346,0.008576777584928903,0.675,0.11180339887498948,2.6,0.8944271909999159,37.114285714285714,22.25385084768523,5.140629937848941,0.41293943047064946,0.2576758576155899,0.02726429460198466,14.901725737651617,7.847054914869922,0.016163255939972598,0.0002176015897511365,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.3961593888942953,0.019815692292572375,0.8824355245297653,0.008576777584928929,8.0,0.0
smd,PCA-Triage,method_retrained,0.5,0.31692554046723925,0.013474809850377311,0.5069042316258352,0.023171623690322888,0.11415163854954428,0.0031237882784165985,0.7,0.16770509831248423,2.4,1.3416407864998738,26.07,17.873150253942363,6.158924119526668,0.5431835557527228,0.15438637958775353,0.009776414546610313,9.024270428626467,2.229964907016769,0.01232072441336312,0.00011299430778421537,541101.0,0.0,2164404.0,0.0,0.5,0.0,0.0,0.0,0.3899846789213663,0.016677344928523935,0.8858483614504558,0.003123788278416612,8.0,0.0
smd,PCA-Triage,method_retrained,0.7,0.3176797945760026,0.01938739169576331,0.5248700816629548,0.033539293238534613,0.11787473337211554,0.00663514106318268,0.75,0.15309310892394862,2.0,1.224744871391589,18.59,12.642463719105105,7.991853646546578,0.8315325743525087,0.038959297547393704,0.0015429069377629835,1.9019341392708398,0.4554564451700983,0.006286608174992441,0.00018914610215478055,757541.0,0.0,3030164.0,0.0,0.6999996303832371,0.0,0.0,0.0,0.3956628803170158,0.023097348333713075,0.8821252666278845,0.006635141063182681,8.0,0.0
smd,Threshold,fixed_full_data,0.3,0.3123471450522479,0.011071138587656622,0.5173719376391982,0.013239759744179113,0.1191235214271863,0.00550957618795252,0.75,0.08838834764831845,2.0,0.7071067811865476,29.1,17.77232555282385,4.908880227536079,0.247544601032544,0.41280950631914487,0.028427514613564898,71.45941259541416,11.325479247637642,0.019089011470707382,0.00031789523943919574,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.3894453029692937,0.010672672373644438,0.8808764785728137,0.005509576187952545,8.0,0.0
smd,Threshold,fixed_full_data,0.5,0.3168824664006519,0.013084342445157703,0.5296213808463252,0.012752056074180508,0.11940275353887916,0.004895971438700117,0.825,0.11180339887498948,1.4,0.8944271909999159,11.691666666666666,6.489815739551727,7.816285684188349,0.390692961008494,0.10926987945211367,0.020745293721758016,13.987361366416502,17.107377425683794,0.012908983056564979,0.0005621463039611847,541101.0,0.0,2164404.0,0.0,0.5,0.0,0.0,0.0,0.39647834931711556,0.013454486516566819,0.8805972464611209,0.004895971438700135,8.0,0.0
smd,Threshold,fixed_full_data,0.7,0.32822050450227785,0.011455351197950202,0.5353377876763178,0.011250951869018068,0.11457824316463058,0.004778610671747348,0.825,0.11180339887498948,1.4,0.8944271909999159,5.717857142857143,1.2617334789416053,8.72221636995681,0.6724963443870426,0.0205547552730602,0.00024231433988269467,0.5615857024442891,0.05519867213471298,0.00387146844415096,9.7543567726522e-05,757541.0,0.0,3030164.0,0.0,0.6999996303832371,0.0,0.0,0.0,0.40688544798252957,0.011122309815108821,0.8854217568353693,0.004778610671747338,8.0,0.0
smd,Threshold,method_retrained,0.3,0.32106369598720486,0.01514536343768002,0.52271714922049,0.023282554361137953,0.11554004266046147,0.004276205576980635,0.775,0.10458250331675945,1.8,0.8366600265340756,26.101904761904763,13.55149312756327,4.796516731626813,0.43828740550243855,0.41280950631914487,0.028427514613564898,71.45941259541416,11.325479247637642,0.019089011470707382,0.00031789523943919574,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.3977558217966388,0.01784881226896337,0.8844599573395385,0.0042762055769806455,8.0,0.0
smd,Threshold,method_retrained,0.5,0.31981629785937393,0.013593122160564713,0.5089829250185598,0.016868771941710145,0.11329067287182466,0.007220238258306502,0.725,0.16298006013006622,2.2,1.3038404810405297,28.3,17.447635943015317,6.341514800379227,1.0361782563108553,0.10926987945211367,0.020745293721758016,13.987361366416502,17.107377425683794,0.012908983056564979,0.0005621463039611847,541101.0,0.0,2164404.0,0.0,0.5,0.0,0.0,0.0,0.39265244799271637,0.01271377347760258,0.8867093271281753,0.00722023825830649,8.0,0.0
smd,Threshold,method_retrained,0.7,0.328249897943558,0.010016297682850983,0.5439495174461767,0.010003694735623923,0.11636998254799295,0.0038052668426201736,0.95,0.1118033988749895,0.4,0.894427190999916,4.358333333333333,0.8284230333725773,8.553671126092912,0.6928152940574379,0.0205547552730602,0.00024231433988269467,0.5615857024442891,0.05519867213471298,0.00387146844415096,9.7543567726522e-05,757541.0,0.0,3030164.0,0.0,0.6999996303832371,0.0,0.0,0.0,0.40940025810561326,0.010248970180456073,0.8836300174520069,0.003805266842620197,8.0,0.0
smd,Uniform,fixed_full_data,0.3,0.3197221078616861,0.014862584182123502,0.5164068299925761,0.01593418028186609,0.11491952685669955,0.005062708833869479,0.675,0.1118033988749895,2.6,0.8944271909999159,24.40571428571429,9.290556978975578,4.24172197057481,0.43033852873636086,0.7000376586245687,0.014377273259628355,116.54467492544765,11.909866200888008,0.0157151025765156,0.00027152803337713834,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.3948843328497285,0.015535082901331543,0.8850804731433003,0.0050627088338694864,8.0,0.0
smd,Uniform,fixed_full_data,0.5,0.3239696291310873,0.01097378843571531,0.5233110616184113,0.010717840985153054,0.11419817723482642,0.004967579272315794,0.775,0.05590169943749474,1.8,0.4472135954999579,9.566666666666666,3.3115957885386114,5.639242950946311,0.30368690347890953,0.42112843777530273,0.08396985105077523,83.8627779114964,19.80454576180342,0.01187647501348188,0.00024124313253298782,541101.0,0.0,2164404.0,0.0,0.5,0.0,0.0,0.0,0.4001244852426373,0.010263269090815215,0.8858018227651735,0.00496757927231574,8.0,0.0
smd,Uniform,fixed_full_data,0.7,0.3271939945778708,0.008946138303669839,0.529547141796585,0.009244923018705711,0.11384913709521036,0.004450555383221581,0.875,0.08838834764831845,1.0,0.7071067811865476,5.632142857142858,1.849555241628845,6.854173250465254,0.579852899800817,0.21888420083568966,0.04265326510816921,55.38756943843507,21.25326442725592,0.00870224800489912,0.00015864661776981114,757541.0,0.0,3030164.0,0.0,0.6999996303832371,0.0,0.0,0.0,0.4044147591957935,0.00801047954943676,0.8861508629047895,0.004450555383221599,8.0,0.0
smd,Uniform,method_retrained,0.3,0.31893323263581685,0.011777015412210125,0.5324424647364514,0.03189969123288781,0.11868916036455299,0.0019903262044465835,0.725,0.16298006013006622,2.2,1.3038404810405297,22.171666666666663,15.01078269852116,4.009972260261947,0.3660918296001508,0.7000376586245687,0.014377273259628355,116.54467492544765,11.909866200888008,0.0157151025765156,0.00027152803337713834,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.3988643118500843,0.01797176700507077,0.8813108396354469,0.0019903262044465896,8.0,0.0
