dataset,method,protocol,budget,seed,requested_budget,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,available_values,transmitted_values,transmitted_payload_bytes,payload_bytes_per_value,realized_bandwidth,budget_excess,max_window_budget_excess,max_window_excess_values,n_windows,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,789,0.5,0.673632788744893,0.6816710618625152,0.6973235952402413,0.6731372231372232,0.27367462535053283,0.10493060111251944,0.027273345611126085,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,13.397733290999895,0.9625666094155987,0.9088149688149688,0.9349188356823577,0.38636363636363635,0.6136363636363636,1.0,2.34,1.0,349.0,6.647619047619048,100.0,100.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,789,0.5,0.675722142749065,0.6854831916992227,0.6930006996107433,0.6933934533934533,0.27367462535053283,0.10493060111251944,0.027273345611126085,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,13.668748249998316,0.9412445615295574,0.9804989604989605,0.960470846995092,0.6690909090909091,0.33090909090909093,1.0,0.18,0.0,415.0,7.904761904761905,100.0,100.0,0.0
tep,Variance,method_retrained,0.5,789,0.5,0.6761204983277356,0.6841105876554101,0.6964480852318194,0.6775943200943202,0.2649469403878206,0.09943174430976102,0.025997540247587488,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.107581750002282,0.9628814715395279,0.9098128898128898,0.935595249548365,0.3834090909090909,0.6165909090909091,1.0,3.26,2.0,341.0,6.495238095238095,100.0,100.0,0.0
tep,Variance,fixed_full_data,0.5,789,0.5,0.679205450602333,0.6892485535789982,0.6954225434139621,0.6982985707985709,0.2649469403878206,0.09943174430976102,0.025997540247587488,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.319748792004248,0.9412482008635855,0.9788981288981289,0.959704047939342,0.6679545454545455,0.33204545454545453,1.0,0.18,0.0,414.0,7.885714285714286,100.0,100.0,0.0
tep,Threshold,method_retrained,0.5,789,0.5,0.6366945063450488,0.6440539319057758,0.6586668132667767,0.6385758610758611,0.3848442966103522,0.13897257021764864,0.03866288133273832,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,6.745070917000703,0.962536537474619,0.8968399168399168,0.9285276106632802,0.3815909090909091,0.6184090909090909,1.0,3.51,2.0,283.0,5.390476190476191,100.0,100.0,0.0
tep,Threshold,fixed_full_data,0.5,789,0.5,0.6436086839652342,0.6524762698987584,0.6633659386569819,0.66254563004563,0.3848442966103522,0.13897257021764864,0.03866288133273832,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,6.959449209003651,0.9403047505228563,0.9814553014553015,0.9604394486546971,0.6811363636363637,0.31886363636363635,1.0,0.18,0.0,381.0,7.257142857142857,100.0,100.0,0.0
tep,Uniform,method_retrained,0.5,789,0.5,0.7040834770031434,0.71303497025645,0.7284294644000004,0.7045623070623069,0.48343133396964644,0.1755126121969094,0.036391539938114045,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,7.830964332999429,0.9617718976508602,0.9158627858627859,0.938256091327313,0.39795454545454545,0.6020454545454546,1.0,1.5,0.0,508.0,9.676190476190476,100.0,100.0,0.0
tep,Uniform,fixed_full_data,0.5,789,0.5,0.688449063194489,0.6989073892526533,0.7116493168071434,0.7011813861813861,0.48343133396964644,0.1755126121969094,0.036391539938114045,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,8.102429625003424,0.9418770460524994,0.974989604989605,0.9581473271291538,0.6577272727272727,0.3422727272727273,1.0,0.18,0.0,454.0,8.647619047619047,100.0,100.0,0.0
tep,Full Data,method_retrained,1.0,789,0.5,0.7280782761140551,0.7391499729150408,0.7488151199414934,0.7368264843264843,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,6.395302832999732,0.9444938012357146,0.9724948024948025,0.958289799848401,0.6247727272727273,0.37522727272727274,1.0,0.0,0.0,382.0,7.276190476190476,100.0,100.0,0.0
tep,Full Data,fixed_full_data,1.0,789,0.5,0.7280782761140551,0.7391499729150408,0.7488151199414934,0.7368264843264843,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,6.711855374996958,0.9444938012357146,0.9724948024948025,0.958289799848401,0.6247727272727273,0.37522727272727274,1.0,0.0,0.0,382.0,7.276190476190476,100.0,100.0,0.0
